Instance,Vehicles,Distance,Reference,Date
c1_10_1q,100,42478.95,GH,2001
c1_10_2,90,42222.96,CAINIAO,Oct-18
c1_10_3,90,40101.36,Q,17-sep-15
c1_10_4,90,39468.6,Q,17-apr-13
c1_10_5i,100,42469.18,RP,25-feb-05
c1_10_6,99,43830.21,Q,05-sep-14
c1_10_7,97,43368.79,SCR,19-dec-21
c1_10_8,92,42629.91,CAINIAO,Mar-20
c1_10_9,90,40322.37,SCR,19-dec-21
c1_10_10,90,39852.44,SCR,10-sep-18
c2_10_1s,30,16879.24,LL,2001
c2_10_2b,29,17126.39,NBD,2009
c2_10_3,28,16829.47,"CAINIAO
SCR","Tie, Nov-18"
c2_10_4,28,15607.48,SCR,Nov-18
c2_10_5,30,16561.29,VCGP,31-jul-12
c2_10_6,29,16863.71,SCR,Oct-18
c2_10_7,29,17602.84,SCR,Jun-19
c2_10_8,28,16512.43,SCR,Oct-18
c2_10_9,28,17809.34,SCR,19-dec-21
c2_10_10,28,15937.45,SCR,Oct-18
r1_10_1,100,53380.18,SCR,19-des-21
r1_10_2,91,48261.04,SCR,19-des-21
r1_10_3,91,44720.88,SCR,19-des-21
r1_10_4,91,42463.74,SCR,19-des-21
r1_10_5,91,50452.87,SCR,May-19
r1_10_6,91,46966.47,SCR,19-des-21
r1_10_7,91,43978.69,SCR,19-des-21
r1_10_8,91,42291.74,SCR,19-des-21
r1_10_9,91,49208.1,SCR,Mar-19
r1_10_10,91,47407.16,SCR,19-des-21
r2_10_1,19,42182.57,CAINIAO,Mar-19
r2_10_2,19,33411.21,SCR,Oct-18
r2_10_3,19,24916.88,SCR,Oct-18
r2_10_4,19,17851.96,CAINIAO,Sep-19
r2_10_5,19,36216.05,SCR,Oct-18
r2_10_6,19,29978.02,SCR,Aug-19
r2_10_7,19,23219.61,SCR,Aug-19
r2_10_8,19,17442.29,SCR,Jun-19
r2_10_9,19,32995.71,CAINIAO,Sep-18
r2_10_10,19,30207.49,SCR,Oct-18
rc1_10_1,90,45830.62,CAINIAO,Dec-19
rc1_10_2,90,43718.84,SCR,Apr-19
rc1_10_3,90,42156.07,SCR,19-dec-21
rc1_10_4,90,41394.95,SCR,19-dec-21
rc1_10_5,90,45069.37,SCR,Jun-19
rc1_10_6,90,44942.27,SCR,19-dec-21
rc1_10_7,90,44457.79,SCR,Feb-20
rc1_10_8,90,43956.91,SCR,Jan-20
rc1_10_9,90,43897.21,SCR,19-dec-21
rc1_10_10,90,43563.82,SCR,19-dec-21
rc2_10_1,20,30276.27,CAINIAO,Nov-18
rc2_10_2,18,26104.09,SCR,Oct-18
rc2_10_3,18,19911.48,SCR,Jan-20
rc2_10_4,18,15693.28,CAINIAO,Feb-19
rc2_10_5,18,27067.04,SCR,Jul-19
rc2_10_6,18,26741.27,CAINIAO,27-sep-18
rc2_10_7,18,24999.66,SCR,Jan-20
rc2_10_8,18,23595.33,SCR,Mar-19
rc2_10_9,18,22919.42,SCR,19-des-21
rc2_10_10,18,21834.94,SCR,Jul-19
