Instance,Vehicles,Distance,Authors
C101,10,827.3,KDMSS
C102,10,827.3,KDMSS
C103,10,826.3,KDMSS
C104,10,822.9,KDMSS
C105,10,827.3,KDMSS
C106,10,827.3,KDMSS
C107,10,827.3,KDMSS
C108,10,827.3,KDMSS
C109,10,827.3,KDMSS
C201,3,589.1,CR+KLM
C202,3,589.1,CR+KLM
C203,3,588.7,KLM
C204,3,588.1,IV
C205,3,586.4,CR+KLM
C206,3,586,CR+KLM
C207,3,585.8,CR+KLM
C208,3,585.8,KLM
RC101,15,1619.8,KDMSS
RC102,14,1457.4,CR+KLM
RC103,11,1258,CR+KLM
RC104,10,1135.48,CLM
RC105,15,1513.7,KDMSS
RC106,11,1424.73,BBB
RC107,12,1207.8,IV
RC108,11,1114.2,IV
RC201,9,1261.8,KLM
RC202,8,1092.3,IV+C
RC203,3,1049.62,CC
RC204,3,798.41,M
RC205,7,1154,IV+C
RC206,3,1146.32,H
RC207,3,1061.14,BVH
RC208,3,828.14,IKMUY
R101,20,1637.7,KDMSS
R102,18,1466.6,KDMSS
R103,14,1208.7,CR+L
R104,11,971.5,IV
R105,15,1355.3,KDMSS
R106,13,1234.6,CR+KLM
R107,11,1064.6,CR+KLM
R108,9,960.88,BBB
R109,13,1146.9,CR+KLM
R110,12,1068,CR+KLM
R111,12,1048.7,CR+KLM
R112,9,982.14,GTA
R201,8,1143.2,KLM
R202,3,1191.7,RGP
R203,3,939.54,M
R204,2,825.52,BVH
R205,3,994.42,RGP
R206,3,906.14,SSSD
R207,2,893.33,BVH
R208,2,726.75,M
R209,3,909.16,H
R210,3,939.34,M
R211,2,892.71,BVH
