Problem,NV,Distance,Authors
C101.25,3,191.3,KDMSS
C101.50,5,362.4,KDMSS
C101.100,10,827.3,KDMSS
C102.25,3,190.3,KDMSS
C102.50,5,361.4,KDMSS
C102.100,10,827.3,KDMSS
C103.25,3,190.3,KDMSS
C103.50,5,361.4,KDMSS
C103.100,10,826.3,KDMSS
C104.25,3,186.9,KDMSS
C104.50,5,358,KDMSS
C104.100,10,822.9,KDMSS
C105.25,3,191.3,KDMSS
C105.50,5,362.4,KDMSS
C105.100,10,827.3,KDMSS
C106.25,3,191.3,KDMSS
C106.50,5,362.4,KDMSS
C106.100,10,827.3,KDMSS
C107.25,3,191.3,KDMSS
C107.50,5,362.4,KDMSS
C107.100,10,827.3,KDMSS
C108.25,3,191.3,KDMSS
C108.50,5,362.4,KDMSS
C108.100,10,827.3,KDMSS
C109.25,3,191.3,KDMSS
C109.50,5,362.4,KDMSS
C109.100,10,827.3,KDMSS
C201.25,2,214.7,CR+L
C201.50,3,360.2,CR+L
C201.100,3,589.1,CR+KLM
C202.25,2,214.7,CR+L
C202.50,3,360.2,CR+KLM
C202.100,3,589.1,CR+KLM
C203.25,2,214.7,CR+L
C203.50,3,359.8,CR+KLM
C203.100,3,588.7,KLM
C204.25,2,213.1,CR+KLM
C204.50,2,350.1,KLM
C204.100,3,588.1,IV
C205.25,2,214.7,CR+L
C205.50,3,359.8,CR+KLM
C205.100,3,586.4,CR+KLM
C206.25,2,214.7,CR+L
C206.50,3,359.8,CR+KLM
C206.100,3,586,CR+KLM
C207.25,2,214.5,CR+L
C207.50,3,359.6,CR+KLM
C207.100,3,585.8,CR+KLM
C208.25,2,214.5,CR+L
C208.50,2,350.5,CR+KLM
C208.100,3,585.8,KLM
