Problem,NV,Distance,Authors
R101.25,8,617.1,KDMSS
R101.50,12,1044,KDMSS
R101.100,20,1637.7,KDMSS
R102.25,7,547.1,KDMSS
R102.50,11,909,KDMSS
R102.100,18,1466.6,KDMSS
R103.25,5,454.6,KDMSS
R103.50,9,772.9,KDMSS
R103.100,14,1208.7,CR+L
R104.25,4,416.9,KDMSS
R104.50,6,625.4,KDMSS
R104.100,11,971.5,IV
R105.25,6,530.5,KDMSS
R105.50,9,899.3,KDMSS
R105.100,15,1355.3,KDMSS
R106.25,3,465.4,KDMSS
R106.50,5,793,KDMSS
R106.100,13,1234.6,CR+KLM
R107.25,4,424.3,KDMSS
R107.50,7,711.1,KDMSS
R107.100,11,1064.6,CR+KLM
R108.25,4,397.3,KDMSS
R108.50,6,617.7,CR+KLM
R108.100,,,
R109.25,5,441.3,KDMSS
R109.50,8,786.8,KDMSS
R109.100,13,1146.9,CR+KLM
R110.25,4,444.1,KDMSS
R110.50,7,697,KDMSS
R110.100,12,1068,CR+KLM
R111.25,5,428.8,KDMSS
R111.50,7,707.2,CR+KLM
R111.100,12,1048.7,CR+KLM
R112.25,4,393,KDMSS
R112.50,6,630.2,CR+KLM
R112.100,,,
R201.25,4,463.3,CR+KLM
R201.50,6,791.9,CR+KLM
R201.100,8,1143.2,KLM
R202.25,4,410.5,CR+KLM
R202.50,5,698.5,CR+KLM
R202.100,,,
R203.25,3,391.4,CR+KLM
R203.50,5,605.3,IV+C
R203.100,,,
R204.25,2,355,IV+C
R204.50,2,506.4,IV
R204.100,,,
R205.25,3,393,CR+KLM
R205.50,4,690.1,IV+C
R205.100,,,
R206.25,3,374.4,CR+KLM
R206.50,4,632.4,IV+C
R206.100,,,
R207.25,3,361.6,KLM
R207.50,,,
R207.100,,,
R208.25,1,328.2,IV+C
R208.50,,,
R208.100,,,
R209.25,2,370.7,KLM
R209.50,4,600.6,IV+C
R209.100,,,
R210.25,3,404.6,CR+KLM
R210.50,4,645.6,IV+C
R210.100,,,
R211.25,2,350.9,KLM
R211.50,3,535.5,IV+DLP
R211.100,,,
