Problem,NV,Distance,Authors
RC101.25,4,461.1,KDMSS
RC101.50,8,944,KDMSS
RC101.100,15,1619.8,KDMSS
RC102.25,3,351.8,KDMSS
RC102.50,7,822.5,KDMSS
RC102.100,14,1457.4,CR+KLM
RC103.25,3,332.8,KDMSS
RC103.50,6,710.9,KDMSS
RC103.100,11,1258,CR+KLM
RC104.25,3,306.6,KDMSS
RC104.50,5,545.8,KDMSS
RC104.100,,,
RC105.25,4,411.3,KDMSS
RC105.50,8,855.3,KDMSS
RC105.100,15,1513.7,KDMSS
RC106.25,3,345.5,KDMSS
RC106.50,6,723.2,KDMSS
RC106.100,,,
RC107.25,3,298.3,KDMSS
RC107.50,6,642.7,KDMSS
RC107.100,12,1207.8,IV
RC108.25,3,294.5,KDMSS
RC108.50,6,598.1,KDMSS
RC108.100,11,1114.2,IV
RC201.25,3,360.2,CR+L
RC201.50,5,684.8,L+KLM
RC201.100,9,1261.8,KLM
RC202.25,3,338,CR+KLM
RC202.50,5,613.6,IV+C
RC202.100,8,1092.3,IV+C
RC203.25,3,326.9,IV+C
RC203.50,4,555.3,IV+C
RC203.100,,,
RC204.25,3,299.7,C
RC204.50,3,444.2,DLP
RC204.100,,,
RC205.25,3,338,L+KLM
RC205.50,5,630.2,IV+C
RC205.100,7,1154,IV+C
RC206.25,3,324,KLM
RC206.50,5,610,IV+C
RC206.100,,,
RC207.25,3,298.3,KLM
RC207.50,4,558.6,C
RC207.100,,,
RC208.25,2,269.1,C
RC208.50,,,
RC208.100,,,
