CUST NO.,LATITUDE,LONGITUDE,DEMAND,FROM TIME,TO TIME,SERVICE TIME
0,40,50,0,2017/01/01 00:00:00,2017/01/01 20:36:00,0
1,45,68,10,2017/01/01 13:50:00,2017/01/01 17:29:00,90
2,45,70,30,2017/01/01 12:36:00,2017/01/01 15:39:00,90
3,42,66,10,2017/01/01 00:16:00,2017/01/01 05:36:00,90
4,42,68,10,2017/01/01 10:43:00,2017/01/01 14:26:00,90
5,42,65,10,2017/01/01 00:15:00,2017/01/01 03:46:00,90
6,40,69,20,2017/01/01 08:19:00,2017/01/01 13:44:00,90
7,40,66,20,2017/01/01 01:27:00,2017/01/01 05:08:00,90
8,38,68,20,2017/01/01 02:30:00,2017/01/01 07:09:00,90
9,38,70,10,2017/01/01 07:09:00,2017/01/01 11:50:00,90
10,35,66,10,2017/01/01 04:39:00,2017/01/01 08:08:00,90
11,35,69,10,2017/01/01 06:03:00,2017/01/01 09:50:00,90
12,25,85,20,2017/01/01 09:07:00,2017/01/01 13:46:00,90
13,22,75,30,2017/01/01 00:30:00,2017/01/01 04:40:00,90
14,22,85,10,2017/01/01 08:09:00,2017/01/01 11:38:00,90
15,20,80,40,2017/01/01 05:18:00,2017/01/01 08:15:00,90
16,20,85,40,2017/01/01 06:34:00,2017/01/01 10:09:00,90
17,18,75,20,2017/01/01 00:33:00,2017/01/01 03:46:00,90
18,15,75,20,2017/01/01 01:08:00,2017/01/01 06:05:00,90
19,15,80,10,2017/01/01 02:56:00,2017/01/01 07:27:00,90
20,30,50,10,2017/01/01 00:10:00,2017/01/01 04:25:00,90
21,30,52,20,2017/01/01 13:56:00,2017/01/01 17:23:00,90
22,28,52,20,2017/01/01 11:44:00,2017/01/01 16:31:00,90
23,28,55,10,2017/01/01 11:04:00,2017/01/01 14:05:00,90
24,25,50,10,2017/01/01 00:15:00,2017/01/01 05:33:00,90
25,25,52,40,2017/01/01 01:28:00,2017/01/01 05:05:00,90
26,25,55,10,2017/01/01 08:22:00,2017/01/01 13:41:00,90
27,23,52,10,2017/01/01 02:59:00,2017/01/01 06:38:00,90
28,23,55,20,2017/01/01 07:56:00,2017/01/01 11:03:00,90
29,20,50,10,2017/01/01 04:48:00,2017/01/01 07:55:00,90
30,20,55,10,2017/01/01 06:08:00,2017/01/01 09:45:00,90
31,10,35,20,2017/01/01 02:24:00,2017/01/01 04:53:00,90
32,10,40,30,2017/01/01 00:31:00,2017/01/01 05:09:00,90
33,8,40,40,2017/01/01 00:33:00,2017/01/01 05:13:00,90
34,8,45,20,2017/01/01 10:55:00,2017/01/01 15:12:00,90
35,5,35,10,2017/01/01 03:11:00,2017/01/01 07:16:00,90
36,5,45,10,2017/01/01 09:48:00,2017/01/01 13:13:00,90
37,2,40,20,2017/01/01 05:05:00,2017/01/01 08:32:00,90
38,0,40,30,2017/01/01 06:54:00,2017/01/01 09:47:00,90
39,0,45,20,2017/01/01 08:01:00,2017/01/01 11:50:00,90
40,35,30,10,2017/01/01 03:00:00,2017/01/01 06:45:00,90
41,35,32,10,2017/01/01 01:03:00,2017/01/01 05:38:00,90
42,33,32,20,2017/01/01 00:19:00,2017/01/01 05:45:00,90
43,33,35,10,2017/01/01 00:16:00,2017/01/01 04:33:00,90
44,32,30,10,2017/01/01 04:38:00,2017/01/01 08:13:00,90
45,30,30,10,2017/01/01 07:33:00,2017/01/01 11:28:00,90
46,30,32,30,2017/01/01 05:55:00,2017/01/01 10:02:00,90
47,30,35,10,2017/01/01 13:57:00,2017/01/01 18:47:00,90
48,28,30,10,2017/01/01 08:59:00,2017/01/01 13:06:00,90
49,28,35,10,2017/01/01 14:27:00,2017/01/01 18:46:00,90
50,26,32,10,2017/01/01 11:59:00,2017/01/01 16:16:00,90
51,25,30,10,2017/01/01 10:35:00,2017/01/01 14:36:00,90
52,25,35,10,2017/01/01 13:45:00,2017/01/01 17:36:00,90
53,44,5,20,2017/01/01 03:13:00,2017/01/01 07:20:00,90
54,42,10,40,2017/01/01 01:18:00,2017/01/01 06:05:00,90
55,42,15,10,2017/01/01 00:35:00,2017/01/01 04:47:00,90
56,40,5,30,2017/01/01 05:08:00,2017/01/01 08:33:00,90
57,40,15,40,2017/01/01 00:35:00,2017/01/01 04:06:00,90
58,38,5,30,2017/01/01 06:16:00,2017/01/01 10:29:00,90
59,38,15,10,2017/01/01 08:39:00,2017/01/01 14:32:00,90
60,35,5,20,2017/01/01 07:43:00,2017/01/01 12:08:00,90
61,50,30,10,2017/01/01 06:52:00,2017/01/01 12:09:00,90
62,50,35,20,2017/01/01 03:01:00,2017/01/01 06:38:00,90
63,50,40,50,2017/01/01 01:40:00,2017/01/01 04:49:00,90
64,48,30,10,2017/01/01 08:59:00,2017/01/01 13:06:00,90
65,48,40,10,2017/01/01 00:12:00,2017/01/01 03:43:00,90
66,47,35,10,2017/01/01 12:33:00,2017/01/01 15:48:00,90
67,47,40,10,2017/01/01 00:12:00,2017/01/01 04:35:00,90
68,45,30,10,2017/01/01 11:09:00,2017/01/01 14:02:00,90
69,45,35,10,2017/01/01 13:56:00,2017/01/01 17:29:00,90
70,95,30,30,2017/01/01 04:44:00,2017/01/01 09:19:00,90
71,95,35,20,2017/01/01 03:14:00,2017/01/01 07:39:00,90
72,53,30,10,2017/01/01 06:07:00,2017/01/01 09:48:00,90
73,92,30,10,2017/01/01 06:10:00,2017/01/01 10:59:00,90
74,53,35,50,2017/01/01 04:23:00,2017/01/01 08:22:00,90
75,45,65,20,2017/01/01 14:07:00,2017/01/01 18:50:00,90
76,90,35,10,2017/01/01 01:59:00,2017/01/01 05:44:00,90
77,88,30,10,2017/01/01 07:49:00,2017/01/01 12:28:00,90
78,88,35,20,2017/01/01 00:50:00,2017/01/01 04:55:00,90
79,87,30,10,2017/01/01 09:33:00,2017/01/01 13:46:00,90
80,85,25,10,2017/01/01 11:34:00,2017/01/01 14:55:00,90
81,85,35,30,2017/01/01 00:47:00,2017/01/01 05:56:00,90
82,75,55,20,2017/01/01 04:53:00,2017/01/01 08:16:00,90
83,72,55,10,2017/01/01 02:34:00,2017/01/01 07:29:00,90
84,70,58,20,2017/01/01 06:00:00,2017/01/01 10:21:00,90
85,68,60,30,2017/01/01 07:50:00,2017/01/01 11:37:00,90
86,66,55,10,2017/01/01 01:16:00,2017/01/01 05:35:00,90
87,65,55,20,2017/01/01 00:25:00,2017/01/01 04:20:00,90
88,65,60,30,2017/01/01 09:11:00,2017/01/01 13:22:00,90
89,63,58,10,2017/01/01 10:40:00,2017/01/01 14:59:00,90
90,60,55,10,2017/01/01 00:20:00,2017/01/01 04:36:00,90
