CUST NO.,LATITUDE,LONGITUDE,DEMAND,FROM TIME,TO TIME,SERVICE TIME
0,35,35,0,2017/01/01 00:00:00,2017/01/01 16:40:00,0
1,41,49,10,2017/01/01 07:31:00,2017/01/01 16:14:00,10
2,35,17,7,2017/01/01 00:18:00,2017/01/01 08:54:00,10
3,55,45,13,2017/01/01 06:18:00,2017/01/01 12:13:00,10
4,55,20,19,2017/01/01 07:57:00,2017/01/01 16:05:00,10
5,15,30,26,2017/01/01 00:20:00,2017/01/01 10:10:00,10
6,25,30,3,2017/01/01 04:05:00,2017/01/01 11:24:00,10
7,20,50,5,2017/01/01 02:52:00,2017/01/01 09:29:00,10
8,10,43,9,2017/01/01 04:05:00,2017/01/01 10:40:00,10
9,55,60,16,2017/01/01 03:51:00,2017/01/01 11:06:00,10
10,30,60,16,2017/01/01 07:10:00,2017/01/01 12:59:00,10
11,20,65,12,2017/01/01 00:33:00,2017/01/01 08:31:00,10
12,50,35,19,2017/01/01 00:50:00,2017/01/01 08:43:00,10
13,30,25,23,2017/01/01 07:42:00,2017/01/01 16:18:00,10
14,15,10,20,2017/01/01 00:32:00,2017/01/01 11:34:00,10
15,30,5,8,2017/01/01 00:30:00,2017/01/01 08:39:00,10
16,10,20,19,2017/01/01 01:42:00,2017/01/01 09:03:00,10
17,5,30,2,2017/01/01 07:24:00,2017/01/01 15:59:00,10
18,20,40,12,2017/01/01 03:49:00,2017/01/01 09:42:00,10
19,15,60,17,2017/01/01 01:35:00,2017/01/01 09:12:00,10
20,45,65,9,2017/01/01 06:58:00,2017/01/01 13:49:00,10
21,45,20,11,2017/01/01 00:36:00,2017/01/01 08:29:00,10
22,45,10,18,2017/01/01 04:06:00,2017/01/01 10:57:00,10
23,55,5,29,2017/01/01 00:36:00,2017/01/01 08:34:00,10
24,65,35,3,2017/01/01 07:15:00,2017/01/01 16:00:00,10
25,65,20,6,2017/01/01 07:18:00,2017/01/01 15:56:00,10
26,45,30,17,2017/01/01 07:08:00,2017/01/01 13:47:00,10
27,35,40,16,2017/01/01 00:05:00,2017/01/01 09:08:00,10
28,41,37,16,2017/01/01 00:06:00,2017/01/01 08:46:00,10
29,64,42,9,2017/01/01 00:29:00,2017/01/01 08:33:00,10
30,40,60,21,2017/01/01 01:31:00,2017/01/01 08:42:00,10
31,31,52,27,2017/01/01 00:17:00,2017/01/01 08:21:00,10
32,35,69,23,2017/01/01 08:02:00,2017/01/01 15:55:00,10
33,53,52,11,2017/01/01 00:24:00,2017/01/01 09:35:00,10
34,65,55,14,2017/01/01 06:07:00,2017/01/01 12:56:00,10
35,63,65,8,2017/01/01 07:33:00,2017/01/01 15:48:00,10
36,2,60,5,2017/01/01 00:41:00,2017/01/01 10:15:00,10
37,20,20,8,2017/01/01 07:23:00,2017/01/01 14:16:00,10
38,5,5,16,2017/01/01 02:10:00,2017/01/01 09:37:00,10
39,60,12,31,2017/01/01 00:33:00,2017/01/01 10:55:00,10
40,40,25,9,2017/01/01 03:21:00,2017/01/01 09:56:00,10
41,42,7,5,2017/01/01 03:39:00,2017/01/01 11:28:00,10
42,24,12,5,2017/01/01 00:25:00,2017/01/01 09:20:00,10
43,23,3,7,2017/01/01 07:38:00,2017/01/01 14:27:00,10
44,11,14,18,2017/01/01 00:59:00,2017/01/01 08:34:00,10
45,6,38,16,2017/01/01 00:29:00,2017/01/01 09:49:00,10
46,2,48,1,2017/01/01 05:38:00,2017/01/01 13:25:00,10
47,8,56,27,2017/01/01 00:34:00,2017/01/01 10:02:00,10
48,13,52,36,2017/01/01 07:34:00,2017/01/01 16:02:00,10
49,6,68,30,2017/01/01 06:02:00,2017/01/01 11:19:00,10
50,47,47,13,2017/01/01 06:19:00,2017/01/01 13:30:00,10
51,49,58,10,2017/01/01 02:56:00,2017/01/01 10:25:00,10
52,27,43,9,2017/01/01 00:11:00,2017/01/01 08:22:00,10
53,37,31,14,2017/01/01 04:16:00,2017/01/01 10:47:00,10
54,57,29,18,2017/01/01 07:55:00,2017/01/01 15:00:00,10
55,63,23,2,2017/01/01 07:21:00,2017/01/01 15:18:00,10
56,53,12,6,2017/01/01 06:52:00,2017/01/01 14:25:00,10
57,32,12,7,2017/01/01 04:06:00,2017/01/01 11:45:00,10
58,36,26,18,2017/01/01 07:59:00,2017/01/01 16:20:00,10
59,21,24,28,2017/01/01 00:17:00,2017/01/01 11:21:00,10
60,17,34,3,2017/01/01 07:29:00,2017/01/01 16:11:00,10
61,12,24,13,2017/01/01 02:06:00,2017/01/01 09:01:00,10
62,24,58,19,2017/01/01 00:25:00,2017/01/01 09:04:00,10
63,27,69,10,2017/01/01 00:34:00,2017/01/01 09:48:00,10
64,15,77,9,2017/01/01 00:46:00,2017/01/01 08:44:00,10
65,62,77,20,2017/01/01 00:49:00,2017/01/01 09:28:00,10
66,49,73,25,2017/01/01 07:01:00,2017/01/01 14:24:00,10
67,67,5,25,2017/01/01 02:00:00,2017/01/01 09:35:00,10
68,56,39,36,2017/01/01 07:39:00,2017/01/01 15:30:00,10
69,37,47,6,2017/01/01 00:12:00,2017/01/01 08:33:00,10
70,37,56,5,2017/01/01 06:08:00,2017/01/01 16:08:00,10
71,57,68,15,2017/01/01 01:38:00,2017/01/01 08:57:00,10
72,47,16,25,2017/01/01 00:22:00,2017/01/01 10:17:00,10
73,44,17,9,2017/01/01 02:23:00,2017/01/01 09:24:00,10
74,46,13,8,2017/01/01 08:02:00,2017/01/01 16:05:00,10
75,49,11,18,2017/01/01 01:02:00,2017/01/01 08:39:00,10
76,49,42,13,2017/01/01 02:09:00,2017/01/01 08:54:00,10
77,53,43,14,2017/01/01 07:40:00,2017/01/01 16:10:00,10
78,61,52,3,2017/01/01 03:27:00,2017/01/01 11:16:00,10
79,57,48,23,2017/01/01 03:50:00,2017/01/01 10:23:00,10
80,56,37,6,2017/01/01 07:50:00,2017/01/01 16:08:00,10
81,55,54,26,2017/01/01 04:28:00,2017/01/01 09:59:00,10
82,15,47,16,2017/01/01 00:23:00,2017/01/01 08:35:00,10
83,14,37,11,2017/01/01 00:21:00,2017/01/01 09:28:00,10
84,11,31,7,2017/01/01 04:38:00,2017/01/01 11:09:00,10
85,16,22,41,2017/01/01 03:33:00,2017/01/01 10:24:00,10
86,4,18,35,2017/01/01 03:50:00,2017/01/01 10:23:00,10
87,28,18,26,2017/01/01 04:47:00,2017/01/01 09:40:00,10
88,26,52,9,2017/01/01 01:44:00,2017/01/01 09:23:00,10
89,26,35,15,2017/01/01 06:49:00,2017/01/01 16:21:00,10
90,31,67,3,2017/01/01 03:45:00,2017/01/01 10:54:00,10
91,15,19,1,2017/01/01 07:49:00,2017/01/01 16:04:00,10
92,22,22,2,2017/01/01 00:18:00,2017/01/01 09:45:00,10
93,18,24,22,2017/01/01 06:54:00,2017/01/01 16:09:00,10
94,26,27,27,2017/01/01 04:43:00,2017/01/01 10:56:00,10
95,25,24,20,2017/01/01 00:14:00,2017/01/01 08:53:00,10
96,22,27,11,2017/01/01 07:25:00,2017/01/01 14:12:00,10
97,25,21,12,2017/01/01 07:42:00,2017/01/01 13:43:00,10
98,19,21,10,2017/01/01 00:21:00,2017/01/01 08:26:00,10
99,20,26,9,2017/01/01 02:44:00,2017/01/01 10:01:00,10
100,18,18,17,2017/01/01 06:31:00,2017/01/01 16:05:00,10
