CUST NO.,LATITUDE,LONGITUDE,DEMAND,FROM TIME,TO TIME,SERVICE TIME
0,40,50,0,2017/01/01 00:00:00,2017/01/01 16:00:00,0
1,25,85,20,2017/01/01 07:11:00,2017/01/01 15:11:00,10
2,22,75,30,2017/01/01 00:30:00,2017/01/01 08:30:00,10
3,22,85,10,2017/01/01 04:51:00,2017/01/01 12:51:00,10
4,20,80,40,2017/01/01 11:14:00,2017/01/01 12:14:00,10
5,20,85,20,2017/01/01 00:40:00,2017/01/01 08:40:00,10
6,18,75,20,2017/01/01 06:33:00,2017/01/01 08:22:00,10
7,15,75,20,2017/01/01 02:00:00,2017/01/01 10:00:00,10
8,15,80,10,2017/01/01 06:37:00,2017/01/01 07:37:00,10
9,10,35,20,2017/01/01 06:41:00,2017/01/01 07:41:00,10
10,10,40,30,2017/01/01 08:55:00,2017/01/01 10:22:00,10
11,8,40,40,2017/01/01 03:45:00,2017/01/01 04:45:00,10
12,8,45,20,2017/01/01 00:43:00,2017/01/01 08:43:00,10
13,5,35,10,2017/01/01 11:23:00,2017/01/01 12:23:00,10
14,5,45,10,2017/01/01 00:35:00,2017/01/01 06:06:00,10
15,2,40,20,2017/01/01 03:24:00,2017/01/01 04:24:00,10
16,0,40,20,2017/01/01 03:24:00,2017/01/01 07:05:00,10
17,0,45,20,2017/01/01 11:38:00,2017/01/01 13:47:00,10
18,44,5,20,2017/01/01 05:06:00,2017/01/01 08:03:00,10
19,42,10,40,2017/01/01 03:19:00,2017/01/01 07:08:00,10
20,42,15,10,2017/01/01 08:14:00,2017/01/01 11:39:00,10
21,40,5,10,2017/01/01 00:45:00,2017/01/01 08:45:00,10
22,40,15,40,2017/01/01 06:23:00,2017/01/01 08:06:00,10
23,38,5,30,2017/01/01 03:51:00,2017/01/01 04:51:00,10
24,38,15,10,2017/01/01 10:09:00,2017/01/01 14:32:00,10
25,35,5,20,2017/01/01 13:41:00,2017/01/01 14:41:00,10
26,95,30,30,2017/01/01 05:49:00,2017/01/01 13:49:00,10
27,95,35,20,2017/01/01 02:18:00,2017/01/01 04:33:00,10
28,92,30,10,2017/01/01 01:18:00,2017/01/01 05:39:00,10
29,90,35,10,2017/01/01 02:12:00,2017/01/01 06:15:00,10
30,88,30,10,2017/01/01 04:12:00,2017/01/01 05:59:00,10
31,88,35,20,2017/01/01 00:50:00,2017/01/01 08:50:00,10
32,87,30,10,2017/01/01 09:22:00,2017/01/01 13:19:00,10
33,85,25,10,2017/01/01 01:11:00,2017/01/01 03:28:00,10
34,85,35,30,2017/01/01 05:07:00,2017/01/01 13:07:00,10
35,67,85,20,2017/01/01 10:55:00,2017/01/01 12:58:00,10
36,65,85,40,2017/01/01 00:43:00,2017/01/01 03:06:00,10
37,65,82,10,2017/01/01 06:17:00,2017/01/01 14:17:00,10
38,62,80,30,2017/01/01 05:08:00,2017/01/01 06:08:00,10
39,60,80,10,2017/01/01 00:46:00,2017/01/01 03:21:00,10
40,60,85,30,2017/01/01 05:39:00,2017/01/01 07:18:00,10
41,58,75,20,2017/01/01 06:17:00,2017/01/01 08:14:00,10
42,55,80,10,2017/01/01 00:33:00,2017/01/01 02:46:00,10
43,55,85,20,2017/01/01 08:51:00,2017/01/01 12:16:00,10
44,55,82,10,2017/01/01 04:07:00,2017/01/01 05:07:00,10
45,20,82,10,2017/01/01 00:37:00,2017/01/01 02:57:00,10
46,18,80,10,2017/01/01 07:12:00,2017/01/01 11:05:00,10
47,2,45,10,2017/01/01 00:38:00,2017/01/01 05:22:00,10
48,42,5,10,2017/01/01 07:04:00,2017/01/01 15:04:00,10
49,42,12,10,2017/01/01 07:40:00,2017/01/01 08:59:00,10
50,72,35,30,2017/01/01 05:27:00,2017/01/01 13:27:00,10
51,55,20,19,2017/01/01 04:33:00,2017/01/01 08:18:00,10
52,25,30,3,2017/01/01 00:25:00,2017/01/01 08:25:00,10
53,20,50,5,2017/01/01 06:45:00,2017/01/01 07:45:00,10
54,55,60,16,2017/01/01 09:14:00,2017/01/01 12:47:00,10
55,30,60,16,2017/01/01 10:29:00,2017/01/01 11:29:00,10
56,50,35,19,2017/01/01 09:20:00,2017/01/01 11:13:00,10
57,30,25,23,2017/01/01 05:42:00,2017/01/01 09:31:00,10
58,15,10,20,2017/01/01 14:02:00,2017/01/01 15:02:00,10
59,10,20,19,2017/01/01 00:42:00,2017/01/01 08:42:00,10
60,15,60,17,2017/01/01 10:23:00,2017/01/01 14:44:00,10
61,45,65,9,2017/01/01 03:34:00,2017/01/01 07:01:00,10
62,65,35,3,2017/01/01 03:17:00,2017/01/01 04:17:00,10
63,65,20,6,2017/01/01 00:39:00,2017/01/01 05:16:00,10
64,45,30,17,2017/01/01 03:11:00,2017/01/01 05:10:00,10
65,35,40,16,2017/01/01 00:11:00,2017/01/01 02:20:00,10
66,41,37,16,2017/01/01 09:30:00,2017/01/01 11:21:00,10
67,64,42,9,2017/01/01 04:58:00,2017/01/01 05:58:00,10
68,40,60,21,2017/01/01 10:13:00,2017/01/01 12:10:00,10
69,31,52,27,2017/01/01 03:07:00,2017/01/01 04:07:00,10
70,35,69,23,2017/01/01 13:00:00,2017/01/01 15:30:00,10
71,65,55,14,2017/01/01 03:11:00,2017/01/01 06:50:00,10
72,63,65,8,2017/01/01 00:27:00,2017/01/01 08:27:00,10
73,2,60,5,2017/01/01 04:00:00,2017/01/01 07:31:00,10
