CUST NO.,LATITUDE,LONGITUDE,DEMAND,FROM TIME,TO TIME,SERVICE TIME
0,70,70,0,2017/01/01 00:00:00,2017/01/03 11:58:00,0
1,38,105,20,2017/01/02 16:48:00,2017/01/03 07:28:00,90
2,100,5,20,2017/01/01 05:08:00,2017/01/01 19:48:00,90
3,111,78,10,2017/01/01 11:01:00,2017/01/02 01:41:00,90
4,96,62,10,2017/01/02 16:57:00,2017/01/03 07:37:00,90
5,122,11,30,2017/01/02 02:02:00,2017/01/02 16:42:00,90
6,94,18,30,2017/01/01 00:57:00,2017/01/01 15:37:00,90
7,60,89,10,2017/01/02 13:17:00,2017/01/03 03:57:00,90
8,67,123,20,2017/01/01 09:06:00,2017/01/01 23:46:00,90
9,99,53,20,2017/01/02 00:17:00,2017/01/02 14:57:00,90
10,26,24,20,2017/01/01 01:03:00,2017/01/01 15:43:00,90
11,93,61,10,2017/01/02 18:30:00,2017/01/03 09:10:00,90
12,27,32,20,2017/01/01 14:09:00,2017/01/02 04:49:00,90
13,25,31,20,2017/01/01 12:37:00,2017/01/02 03:17:00,90
14,98,36,10,2017/01/02 19:04:00,2017/01/03 09:44:00,90
15,101,68,10,2017/01/01 09:17:00,2017/01/01 23:57:00,90
16,49,48,10,2017/01/01 17:23:00,2017/01/02 08:03:00,90
17,56,95,10,2017/01/02 11:40:00,2017/01/03 02:20:00,90
18,14,107,20,2017/01/01 07:55:00,2017/01/01 22:35:00,90
19,98,46,20,2017/01/02 01:54:00,2017/01/02 16:34:00,90
20,131,4,40,2017/01/01 21:17:00,2017/01/02 11:57:00,90
21,94,89,20,2017/01/02 16:35:00,2017/01/03 07:15:00,90
22,70,113,30,2017/01/01 15:41:00,2017/01/02 06:21:00,90
23,94,59,30,2017/01/02 19:22:00,2017/01/03 10:02:00,90
24,64,59,10,2017/01/02 02:00:00,2017/01/02 16:40:00,90
25,112,3,10,2017/01/01 16:25:00,2017/01/02 07:05:00,90
26,20,108,10,2017/01/01 06:19:00,2017/01/01 20:59:00,90
27,10,118,20,2017/01/01 19:16:00,2017/01/02 09:56:00,90
28,76,65,40,2017/01/01 00:07:00,2017/01/01 14:47:00,90
29,103,12,20,2017/01/01 03:31:00,2017/01/01 18:11:00,90
30,44,62,30,2017/01/01 12:37:00,2017/01/02 03:17:00,90
31,96,138,10,2017/01/02 03:08:00,2017/01/02 17:48:00,90
32,27,44,20,2017/01/01 17:26:00,2017/01/02 08:06:00,90
33,21,28,40,2017/01/01 11:02:00,2017/01/02 01:42:00,90
34,26,91,10,2017/01/02 19:00:00,2017/01/03 09:40:00,90
35,98,75,10,2017/01/01 06:03:00,2017/01/01 20:43:00,90
36,69,48,20,2017/01/02 19:26:00,2017/01/03 10:06:00,90
37,19,116,10,2017/01/02 03:36:00,2017/01/02 18:16:00,90
38,60,111,10,2017/01/01 01:06:00,2017/01/01 15:46:00,90
39,54,102,20,2017/01/01 00:35:00,2017/01/01 15:15:00,90
40,63,103,20,2017/01/01 00:33:00,2017/01/01 15:13:00,90
