CUST NO.,LATITUDE,LONGITUDE,DEMAND,FROM TIME,TO TIME,SERVICE TIME
0,70,70,0,2017/01/01 00:00:00,2017/01/02 18:15:00,0
1,10,86,14,2017/01/01 21:57:00,2017/01/02 10:48:00,10
2,16,62,15,2017/01/01 21:45:00,2017/01/02 09:03:00,10
3,84,36,10,2017/01/01 02:58:00,2017/01/01 12:37:00,10
4,79,72,22,2017/01/01 00:09:00,2017/01/01 06:27:00,10
5,16,39,20,2017/01/01 01:02:00,2017/01/01 15:07:00,10
6,61,54,10,2017/01/01 00:18:00,2017/01/01 07:51:00,10
7,96,26,10,2017/01/01 00:51:00,2017/01/01 10:58:00,10
8,16,92,10,2017/01/01 21:10:00,2017/01/02 04:41:00,10
9,85,106,20,2017/01/01 01:51:00,2017/01/01 06:09:00,10
10,6,25,10,2017/01/01 02:06:00,2017/01/01 17:16:00,10
11,37,125,10,2017/01/01 20:13:00,2017/01/02 03:34:00,10
12,87,108,20,2017/01/01 00:41:00,2017/01/01 13:48:00,10
13,18,104,18,2017/01/01 17:28:00,2017/01/02 05:25:00,10
14,61,48,20,2017/01/01 00:23:00,2017/01/01 11:54:00,10
15,97,29,30,2017/01/01 00:49:00,2017/01/01 11:38:00,10
16,112,67,10,2017/01/01 01:14:00,2017/01/01 11:46:00,10
17,50,106,25,2017/01/01 18:55:00,2017/01/02 01:48:00,10
18,99,28,30,2017/01/01 03:24:00,2017/01/01 09:34:00,10
19,15,9,2,2017/01/02 01:46:00,2017/01/02 06:56:00,10
20,19,37,20,2017/01/01 07:24:00,2017/01/01 11:26:00,10
21,90,101,10,2017/01/01 08:28:00,2017/01/01 14:15:00,10
22,125,68,20,2017/01/01 09:31:00,2017/01/01 18:04:00,10
23,127,108,10,2017/01/01 03:58:00,2017/01/01 16:01:00,10
24,90,44,6,2017/01/01 01:53:00,2017/01/01 07:05:00,10
25,4,23,10,2017/01/01 03:47:00,2017/01/01 13:52:00,10
26,17,37,30,2017/01/01 03:30:00,2017/01/01 12:16:00,10
27,113,32,36,2017/01/01 05:52:00,2017/01/01 15:21:00,10
28,63,57,10,2017/01/01 00:14:00,2017/01/01 15:55:00,10
29,94,104,10,2017/01/01 08:16:00,2017/01/01 10:50:00,10
30,58,95,35,2017/01/02 04:56:00,2017/01/02 13:43:00,10
31,137,96,9,2017/01/01 03:13:00,2017/01/01 06:22:00,10
32,127,112,20,2017/01/01 03:06:00,2017/01/01 15:00:00,10
33,103,119,18,2017/01/01 18:44:00,2017/01/02 03:48:00,10
34,20,69,13,2017/01/01 22:19:00,2017/01/02 06:06:00,10
35,2,28,10,2017/01/01 04:02:00,2017/01/01 08:30:00,10
36,88,29,33,2017/01/02 08:59:00,2017/01/02 17:21:00,10
37,86,102,10,2017/01/01 00:35:00,2017/01/01 07:20:00,10
38,126,112,10,2017/01/01 05:23:00,2017/01/01 11:15:00,10
39,61,34,7,2017/01/02 04:25:00,2017/01/02 12:36:00,10
40,113,69,20,2017/01/01 03:12:00,2017/01/01 08:10:00,10
41,109,78,21,2017/01/01 13:36:00,2017/01/01 20:05:00,10
42,21,48,10,2017/01/01 00:53:00,2017/01/01 10:41:00,10
43,86,36,20,2017/01/01 02:55:00,2017/01/01 09:34:00,10
44,97,12,10,2017/01/01 11:00:00,2017/01/01 18:29:00,10
45,121,112,20,2017/01/01 01:06:00,2017/01/01 10:53:00,10
46,19,39,10,2017/01/01 06:17:00,2017/01/01 14:08:00,10
47,66,40,20,2017/01/01 00:30:00,2017/01/01 04:41:00,10
48,87,39,20,2017/01/01 00:35:00,2017/01/01 10:06:00,10
49,63,50,10,2017/01/01 02:21:00,2017/01/01 06:57:00,10
50,121,123,9,2017/01/01 14:56:00,2017/01/01 21:21:00,10
51,116,22,32,2017/01/01 07:01:00,2017/01/01 13:20:00,10
52,137,101,12,2017/01/01 08:05:00,2017/01/01 16:29:00,10
53,137,137,27,2017/01/01 04:07:00,2017/01/01 11:10:00,10
54,70,94,32,2017/01/01 00:24:00,2017/01/01 09:06:00,10
55,117,92,25,2017/01/01 17:41:00,2017/01/01 22:02:00,10
56,122,113,20,2017/01/01 03:12:00,2017/01/01 10:10:00,10
57,109,71,20,2017/01/01 00:39:00,2017/01/01 06:15:00,10
58,35,102,10,2017/01/01 07:34:00,2017/01/01 17:24:00,10
59,91,108,10,2017/01/01 01:00:00,2017/01/01 10:34:00,10
60,8,87,17,2017/01/02 00:08:00,2017/01/02 07:22:00,10
61,140,42,13,2017/01/01 02:07:00,2017/01/01 13:17:00,10
62,16,38,20,2017/01/01 03:55:00,2017/01/01 10:21:00,10
63,44,36,9,2017/01/01 00:42:00,2017/01/01 09:12:00,10
64,60,84,23,2017/01/02 07:28:00,2017/01/02 10:44:00,10
65,109,139,8,2017/01/01 03:26:00,2017/01/01 13:38:00,10
66,80,103,15,2017/01/01 22:22:00,2017/01/02 05:15:00,10
67,66,82,27,2017/01/02 02:26:00,2017/01/02 17:53:00,10
68,99,26,40,2017/01/01 00:52:00,2017/01/01 11:46:00,10
69,34,108,10,2017/01/01 03:40:00,2017/01/01 14:30:00,10
70,135,65,3,2017/01/01 20:01:00,2017/01/02 03:08:00,10
71,36,124,34,2017/01/01 12:17:00,2017/01/01 20:54:00,10
72,102,60,30,2017/01/01 03:51:00,2017/01/01 16:10:00,10
73,30,21,12,2017/01/01 16:02:00,2017/01/02 04:57:00,10
74,139,110,19,2017/01/01 09:37:00,2017/01/01 17:55:00,10
75,10,111,21,2017/01/02 06:56:00,2017/01/02 12:46:00,10
76,18,70,26,2017/01/02 00:05:00,2017/01/02 06:03:00,10
77,4,28,10,2017/01/01 04:49:00,2017/01/01 16:22:00,10
78,57,53,10,2017/01/01 03:04:00,2017/01/01 11:31:00,10
79,54,41,9,2017/01/01 18:09:00,2017/01/01 21:20:00,10
80,107,25,13,2017/01/01 16:05:00,2017/01/01 22:24:00,10
81,110,99,21,2017/01/01 17:36:00,2017/01/02 00:46:00,10
82,84,88,16,2017/01/01 18:25:00,2017/01/02 07:05:00,10
83,101,0,9,2017/01/02 06:14:00,2017/01/02 14:09:00,10
84,28,99,10,2017/01/01 00:53:00,2017/01/01 05:56:00,10
85,119,114,20,2017/01/01 01:05:00,2017/01/01 09:41:00,10
86,118,108,10,2017/01/01 08:12:00,2017/01/01 17:07:00,10
87,50,112,18,2017/01/01 11:47:00,2017/01/01 21:07:00,10
88,44,116,27,2017/01/01 00:52:00,2017/01/01 14:19:00,10
89,82,100,18,2017/01/01 02:22:00,2017/01/01 13:33:00,10
90,83,12,29,2017/01/01 10:07:00,2017/01/01 22:34:00,10
91,126,23,13,2017/01/01 13:42:00,2017/01/01 23:26:00,10
92,85,75,37,2017/01/01 00:15:00,2017/01/01 03:20:00,10
93,39,13,20,2017/01/01 22:49:00,2017/01/02 05:17:00,10
94,120,136,10,2017/01/01 04:20:00,2017/01/01 12:57:00,10
95,105,2,1,2017/01/01 10:13:00,2017/01/01 21:36:00,10
96,36,54,15,2017/01/01 21:03:00,2017/01/02 06:33:00,10
97,35,90,20,2017/01/02 01:59:00,2017/01/02 11:28:00,10
98,111,66,20,2017/01/01 03:13:00,2017/01/01 11:18:00,10
99,119,136,30,2017/01/01 04:45:00,2017/01/01 11:03:00,10
100,84,99,20,2017/01/01 00:32:00,2017/01/01 09:16:00,10
101,137,127,28,2017/01/01 09:32:00,2017/01/01 18:33:00,10
102,95,35,10,2017/01/01 00:43:00,2017/01/01 10:05:00,10
103,69,6,8,2017/01/01 03:24:00,2017/01/01 09:39:00,10
104,1,24,10,2017/01/01 01:22:00,2017/01/01 15:09:00,10
105,31,112,20,2017/01/01 04:26:00,2017/01/01 11:45:00,10
106,138,78,43,2017/01/01 10:36:00,2017/01/01 18:23:00,10
107,100,99,17,2017/01/01 16:24:00,2017/01/02 01:28:00,10
108,123,112,20,2017/01/01 03:24:00,2017/01/01 11:31:00,10
109,119,130,20,2017/01/01 08:33:00,2017/01/01 13:52:00,10
110,92,22,18,2017/01/01 04:47:00,2017/01/01 22:33:00,10
111,137,7,40,2017/01/01 07:33:00,2017/01/01 15:14:00,10
112,121,124,21,2017/01/01 03:54:00,2017/01/01 18:05:00,10
113,34,104,10,2017/01/01 05:57:00,2017/01/01 15:38:00,10
114,121,110,30,2017/01/01 07:15:00,2017/01/01 16:15:00,10
115,56,139,18,2017/01/01 18:31:00,2017/01/02 00:47:00,10
116,106,10,13,2017/01/01 17:45:00,2017/01/02 00:06:00,10
117,125,108,20,2017/01/01 06:51:00,2017/01/01 14:43:00,10
118,21,115,10,2017/01/01 02:39:00,2017/01/01 10:48:00,10
119,110,66,10,2017/01/01 05:38:00,2017/01/01 10:21:00,10
120,36,38,5,2017/01/02 03:23:00,2017/01/02 08:58:00,10
121,56,129,21,2017/01/01 17:18:00,2017/01/01 22:54:00,10
122,4,30,40,2017/01/01 07:26:00,2017/01/01 15:21:00,10
123,8,138,10,2017/01/01 18:21:00,2017/01/01 22:28:00,10
124,88,35,20,2017/01/01 00:39:00,2017/01/01 10:30:00,10
125,116,132,10,2017/01/01 09:25:00,2017/01/01 16:09:00,10
126,113,45,4,2017/01/01 19:12:00,2017/01/01 22:40:00,10
127,28,107,20,2017/01/01 03:24:00,2017/01/01 07:18:00,10
128,115,134,30,2017/01/01 03:54:00,2017/01/01 07:59:00,10
129,116,83,30,2017/01/01 08:33:00,2017/01/01 17:22:00,10
130,57,59,10,2017/01/01 05:59:00,2017/01/01 12:14:00,10
131,89,39,23,2017/01/01 00:36:00,2017/01/01 07:15:00,10
132,59,52,20,2017/01/01 01:46:00,2017/01/01 11:11:00,10
133,112,71,20,2017/01/01 00:42:00,2017/01/01 08:56:00,10
134,35,99,20,2017/01/01 07:48:00,2017/01/01 18:54:00,10
135,23,39,20,2017/01/01 17:52:00,2017/01/02 07:01:00,10
136,84,39,20,2017/01/01 04:50:00,2017/01/01 12:29:00,10
137,19,120,16,2017/01/01 14:14:00,2017/01/01 22:35:00,10
