CUST NO.,LATITUDE,LONGITUDE,DEMAND,FROM TIME,TO TIME,SERVICE TIME
0,200,200,0,2017/01/01 00:00:00,2017/01/02 04:08:00,0
1,321,287,12,2017/01/01 09:51:00,2017/01/01 10:21:00,10
2,123,176,6,2017/01/01 19:30:00,2017/01/01 20:00:00,10
3,234,20,15,2017/01/01 06:58:00,2017/01/01 07:28:00,10
4,256,385,5,2017/01/01 09:56:00,2017/01/01 10:26:00,10
5,108,399,23,2017/01/01 03:39:00,2017/01/01 04:09:00,10
6,303,258,21,2017/01/01 16:28:00,2017/01/01 16:58:00,10
7,148,94,23,2017/01/01 13:58:00,2017/01/01 14:28:00,10
8,35,238,32,2017/01/01 03:11:00,2017/01/01 03:41:00,10
9,356,223,28,2017/01/01 16:08:00,2017/01/01 16:38:00,10
10,349,324,33,2017/01/01 08:58:00,2017/01/01 09:28:00,10
11,29,9,14,2017/01/01 13:45:00,2017/01/01 14:15:00,10
12,21,82,26,2017/01/01 14:02:00,2017/01/01 14:32:00,10
13,146,320,22,2017/01/01 08:17:00,2017/01/01 08:47:00,10
14,337,81,22,2017/01/01 11:53:00,2017/01/01 12:23:00,10
15,160,313,8,2017/01/01 14:19:00,2017/01/01 14:49:00,10
16,237,243,9,2017/01/01 00:56:00,2017/01/01 01:26:00,10
17,343,134,8,2017/01/01 16:49:00,2017/01/01 17:19:00,10
18,13,59,13,2017/01/01 09:19:00,2017/01/01 09:49:00,10
19,123,30,12,2017/01/01 11:38:00,2017/01/01 12:08:00,10
20,156,32,34,2017/01/01 13:10:00,2017/01/01 13:40:00,10
21,361,194,12,2017/01/01 06:45:00,2017/01/01 07:15:00,10
22,330,310,11,2017/01/01 11:18:00,2017/01/01 11:48:00,10
23,326,335,11,2017/01/01 16:21:00,2017/01/01 16:51:00,10
24,209,283,24,2017/01/01 10:17:00,2017/01/01 10:47:00,10
25,267,221,24,2017/01/01 09:47:00,2017/01/01 10:17:00,10
26,57,124,24,2017/01/01 02:41:00,2017/01/01 03:11:00,10
27,280,5,9,2017/01/01 16:56:00,2017/01/01 17:26:00,10
28,92,238,11,2017/01/01 20:14:00,2017/01/01 20:44:00,10
29,51,205,26,2017/01/01 20:16:00,2017/01/01 20:46:00,10
30,369,6,16,2017/01/01 09:07:00,2017/01/01 09:37:00,10
31,131,89,26,2017/01/01 02:20:00,2017/01/01 02:50:00,10
32,359,157,5,2017/01/01 13:30:00,2017/01/01 14:00:00,10
33,195,148,19,2017/01/01 22:06:00,2017/01/01 22:36:00,10
34,239,252,20,2017/01/01 22:12:00,2017/01/01 22:42:00,10
35,328,8,36,2017/01/01 07:25:00,2017/01/01 07:55:00,10
36,162,316,30,2017/01/01 09:56:00,2017/01/01 10:26:00,10
37,184,233,19,2017/01/01 00:36:00,2017/01/01 01:06:00,10
38,29,86,28,2017/01/01 09:30:00,2017/01/01 10:00:00,10
39,340,276,43,2017/01/01 14:28:00,2017/01/01 14:58:00,10
40,129,53,14,2017/01/01 12:31:00,2017/01/01 13:01:00,10
41,332,124,22,2017/01/01 05:34:00,2017/01/01 06:04:00,10
42,55,115,8,2017/01/01 13:03:00,2017/01/01 13:33:00,10
43,393,246,14,2017/01/01 08:28:00,2017/01/01 08:58:00,10
44,348,319,29,2017/01/01 05:31:00,2017/01/01 06:01:00,10
45,361,287,13,2017/01/01 04:16:00,2017/01/01 04:46:00,10
46,16,114,26,2017/01/01 12:03:00,2017/01/01 12:33:00,10
47,353,65,24,2017/01/01 05:06:00,2017/01/01 05:36:00,10
48,73,126,38,2017/01/01 06:59:00,2017/01/01 07:29:00,10
49,91,61,10,2017/01/02 00:32:00,2017/01/02 01:02:00,10
50,117,148,14,2017/01/01 01:37:00,2017/01/01 02:07:00,10
51,60,319,29,2017/01/01 04:15:00,2017/01/01 04:45:00,10
52,244,50,23,2017/01/01 15:54:00,2017/01/01 16:24:00,10
53,79,95,22,2017/01/01 20:26:00,2017/01/01 20:56:00,10
54,255,80,11,2017/01/01 08:40:00,2017/01/01 09:10:00,10
55,319,115,16,2017/01/01 11:05:00,2017/01/01 11:35:00,10
56,35,160,13,2017/01/01 16:57:00,2017/01/01 17:27:00,10
57,358,309,11,2017/01/01 14:16:00,2017/01/01 14:46:00,10
58,232,131,20,2017/01/01 18:56:00,2017/01/01 19:26:00,10
59,161,124,17,2017/01/01 11:00:00,2017/01/01 11:30:00,10
60,85,128,18,2017/01/01 21:28:00,2017/01/01 21:58:00,10
61,211,153,14,2017/01/01 00:56:00,2017/01/01 01:26:00,10
62,152,361,18,2017/01/01 17:09:00,2017/01/01 17:39:00,10
63,327,115,15,2017/01/01 05:03:00,2017/01/01 05:33:00,10
64,151,231,10,2017/01/01 01:19:00,2017/01/01 01:49:00,10
65,210,294,43,2017/01/01 01:34:00,2017/01/01 02:04:00,10
66,264,341,9,2017/01/01 17:21:00,2017/01/01 17:51:00,10
67,309,53,26,2017/01/01 05:27:00,2017/01/01 05:57:00,10
