case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
r106,87.90400157294198,0.0,,,
r207,115.77550697359914,1.0,,,
r102,42.95786125776749,1.0,,,
r112,127.81748596163573,3.0,,,
r109,72.15513543834504,0.0,,,
r110,132.1438836206803,1.0,,,
r203,52.84525174973805,1.0,,,
r105,53.65748961178065,0.0,,,
r101,43.518354115409466,1.0,,,
r107,115.53269241768204,2.0,,,
r204,13.630354162194294,1.0,,,
r209,229.7392426287289,0.0,,,
r206,47.92187447323363,1.0,,,
r208,141.45630836003397,1.0,,,
r104,137.3702372950711,0.0,,,
r108,93.82244011058276,1.0,,,
r201,112.68933048601434,-3.0,,,
r103,133.479820800982,3.0,,,
r210,59.34523770821454,1.0,,,
r211,48.665919874423935,1.0,,,
r111,135.7226431408842,1.0,,,
r202,39.01673907065469,1.0,,,
r205,111.04693840975244,1.0,,,
