case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
C1_2_5,-126.21979617908028,-1.0,,,103.83363752365112
C1_2_7,-238.6444423703906,-1.0,,,264.9896991252899
C2_2_5,-15.567940741820394,0.0,,,1278.481659793854
C2_2_8,-161.1980041615143,1.0,,,1072.0074829101563
C1_2_1,-2.847295712524556,0.0,,,94.9736156463623
C1_2_10,-150.9946715838605,0.0,,,365.0598758220673
C1_2_4,40.49354044840493,0.0,,,275.5186916828156
C2_2_7,-27.286391929632146,0.0,,,1910.8168367862704
C1_2_8,-207.2647950177629,-1.0,,,221.07628259658813
C1_2_2,120.4270741956625,0.0,,,326.1190505027771
C2_2_3,45.86791436877115,-1.0,,,2262.397212600708
C1_2_6,-79.46818322443733,-1.0,,,233.15501413345336
C2_2_10,0.4227381801506453,0.0,,,2180.668710803986
C2_2_4,123.67246299946623,-1.0,,,3390.358397769928
C1_2_3,-26.01453512159833,0.0,,,286.15040283203126
C1_2_9,-174.5665190610921,0.0,,,276.7851994514465
C2_2_6,-279.40697017227103,0.0,,,1264.5183075904847
C2_2_9,175.36198123570398,0.0,,,2209.333952236176
C2_2_2,55.503258676248606,-1.0,,,1616.5898727416993
C2_2_1,-62.9210864785141,0.0,,,1378.7147831439972
