case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
RC1_2_5,195.55305627086184,2.0,,,
RC2_2_1,27.987211095023213,2.0,,,
RC1_2_2,295.9044503790292,2.0,,,
RC2_2_2,-29.491292606637217,3.0,,,
RC1_2_3,543.3918886205488,1.0,,,
RC1_2_10,347.4777926534316,1.0,,,
RC1_2_1,58.24669193234786,2.0,,,
RC2_2_6,-122.96744958305952,3.0,,,
RC2_2_9,280.5162462231078,2.0,,,
RC1_2_8,622.1909532093891,1.0,,,
RC1_2_4,486.9810085544928,2.0,,,
RC2_2_8,155.5364669917526,3.0,,,
RC1_2_6,739.6373277826428,2.0,,,
RC2_2_4,71.97551292912021,3.0,,,
RC2_2_3,-177.77412276424002,3.0,,,
RC1_2_9,495.718446053987,1.0,,,
RC2_2_10,147.62633098620017,1.0,,,
RC2_2_5,83.6422144742528,3.0,,,
RC1_2_7,312.5911855783761,1.0,,,
RC2_2_7,64.95455814143088,3.0,,,
