case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
R2_4_6,1383.007709037266,2.0,,,
RC1_4_5,1116.3818584578376,3.0,,,
RC2_4_1,168.54921113365526,5.0,,,
RC2_4_6,213.0979324779601,6.0,,,
C1_4_8,436.667813626389,5.0,,,
R2_4_4,864.9306616883459,1.0,,,
C2_4_5,355.8000043638326,3.0,,,
R1_4_4,1590.463999545459,1.0,,,
RC1_4_1,1011.0317107082848,5.0,,,
RC1_4_8,968.0558001407862,1.0,,,
RC1_4_6,742.3309327096431,4.0,,,
C2_4_1,145.99884546762587,1.0,,,
RC2_4_2,92.73284956485622,5.0,,,
C2_4_7,497.7524660982335,3.0,,,
R1_4_9,1371.532964139789,2.0,,,
C1_4_7,287.37506343754194,3.0,,,
RC1_4_3,1353.2326950676552,2.0,,,
RC2_4_10,715.2946436804177,2.0,,,
R1_4_1,830.5517008418683,3.0,,,
RC2_4_7,369.9838633704994,6.0,,,
C1_4_9,950.0911920600612,5.0,,,
C1_4_6,172.0029983762488,1.0,,,
R1_4_8,1093.3831742955365,1.0,,,
RC2_4_8,586.6402028933808,2.0,,,
R1_4_3,1334.6180040454838,2.0,,,
C1_4_5,316.5416366666086,2.0,,,
R2_4_10,857.8428952592831,1.0,,,
R2_4_9,454.1063029707866,3.0,,,
C2_4_2,444.3270953057468,2.0,,,
C2_4_9,695.8337751336162,3.0,,,
C2_4_3,436.9570003783424,4.0,,,
C1_4_2,-182.88087009783885,5.0,,,
R1_4_2,993.45558005346,4.0,,,
R2_4_8,1026.9678255812282,0.0,,,
C1_4_3,712.7986901528375,5.0,,,
C1_4_4,891.126591888994,2.0,,,
RC2_4_4,830.4007600963669,2.0,,,
R2_4_1,-67.36343370237591,4.0,,,
R2_4_7,1567.3311883216038,0.0,,,
RC1_4_2,1374.1760397754297,3.0,,,
R2_4_5,526.3505947490676,3.0,,,
R1_4_7,2022.1297965129345,1.0,,,
RC2_4_3,401.131660427176,5.0,,,
R1_4_5,1081.2379353122617,4.0,,,
R1_4_6,1723.007278532259,2.0,,,
R2_4_2,96.3141824922941,5.0,,,
C2_4_8,34.51671874268868,4.0,,,
RC1_4_10,936.5442163917404,2.0,,,
C1_4_1,206.4609511481176,1.0,,,
R2_4_3,955.1994049987724,2.0,,,
RC2_4_5,-395.4217009070271,7.0,,,
RC2_4_9,589.3823429731538,1.0,,,
C2_4_6,484.6397211021326,3.0,,,
C2_4_4,767.3328208576586,2.0,,,
C1_4_10,838.0465346946494,4.0,,,
RC1_4_7,1111.5790373775726,1.0,,,
RC1_4_4,1719.7151033544314,1.0,,,
R1_4_10,1952.490409857015,1.0,,,
C2_4_10,454.1391931668359,3.0,,,
RC1_4_9,1143.4730036379117,2.0,,,
