case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
R2_4_6,-9.377116063422774,-10.0,,,159256.6935814715
R2_4_4,-1.5066377334485614,-11.11111111111111,,,399488.67623059696
R1_4_4,-6.779095097663175,0.0,,,6386.8939108642335
R1_4_9,-3.6264206143896462,-2.631578947368421,,,9308.861230967575
R1_4_1,-1.131801206895151,2.3255813953488373,,,10155.917711668884
R1_4_8,4.520512141788144,-2.702702702702702,,,2695.8504498792227
R1_4_3,0.3729454699258588,2.631578947368421,,,7088.687017199264
R2_4_10,-2.870576362792149,0.0,,,337058.00808207353
R2_4_9,7.961743094545709,-18.181818181818183,,,151620.44520413442
R1_4_2,-0.3904878083142744,-2.5,,,8579.046465302621
R2_4_8,-4.111813938233618,0.0,,,105406.49396992332
R2_4_1,-2.515673986142889,-8.333333333333332,,,120074.5611976958
R2_4_7,-10.523685328322795,0.0,,,203381.7302298476
R2_4_5,3.415195230733421,-18.181818181818183,,,613617.0407191811
R1_4_7,-7.42660703984061,0.0,,,7387.433184936694
R1_4_5,-3.853519177164901,-2.5,,,10149.352216418183
R1_4_6,-4.84743788053595,0.0,,,7103.502446051688
R2_4_2,0.7750427046261812,-23.07692307692308,,,306857.5299345334
R2_4_3,-10.86425511472577,0.0,,,134208.99689777763
R1_4_10,-5.582815640784903,0.0,,,4443.443127349063
