case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
RC1_4_5,-3.0302588629882043,2.564102564102564,,,9120.447807502298
RC2_4_1,-1.615423015759264,-6.25,,,93066.61323697108
RC2_4_6,0.6475356854018751,-21.428571428571427,,,99786.82374003
RC1_4_1,-1.8069021969410235,2.4390243902439024,,,68917.67739460507
RC1_4_8,-4.413970993771526,0.0,,,8034.369180995455
RC1_4_6,2.7758745218530905,0.0,,,8837.202030836119
RC2_4_2,-5.593130175651747,0.0,,,166838.509412922
RC1_4_3,-5.721134479979336,-2.631578947368421,,,10476.508979645265
RC2_4_10,1.6222264416465233,-20.0,,,382373.8569136491
RC2_4_7,2.771491613867316,-21.428571428571427,,,117670.15072605692
RC2_4_8,1.5856316707709066,0.0,,,93265.66726841124
RC2_4_4,-5.408593048194745,0.0,,,99068.78762114645
RC1_4_2,-4.708424528214314,2.564102564102564,,,16455.073394451516
RC2_4_3,-1.1804417240339578,-7.6923076923076925,,,112383.3959336293
RC1_4_10,0.5685005716221292,-2.631578947368421,,,8116.648183835578
RC2_4_5,-3.752085330299941,-13.333333333333334,,,114243.52983913744
RC2_4_9,6.997847430525303,0.0,,,197035.29462764403
RC1_4_7,-1.420006358391756,2.702702702702702,,,6021.12422160367
RC1_4_4,-10.912906746780564,0.0,,,9290.91881823638
RC1_4_9,-3.330135508813032,-2.631578947368421,,,8185.870966935295
