case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
C1_6_1,4.380550425375806,3.333333333333333,,,
C1_6_2,7.27994174245032,12.5,,,
R2_6_2,4.353648784998029,36.36363636363637,,,
C2_6_1,5.9645911203702,16.666666666666664,,,
RC1_6_1,16.409387636665457,10.909090909090908,,,
RC2_6_1,2.0006366450460145,57.14285714285714,,,
RC1_6_2,17.0178646865441,7.272727272727272,,,
RC2_6_2,1.4904367504653082,66.66666666666666,,,
R2_6_1,2.194137530075125,45.45454545454545,,,
R1_6_1,10.3435041324558,5.084745762711865,,,
R1_6_2,16.878890654483964,5.555555555555555,,,
C2_6_2,3.4904644140829157,29.411764705882355,,,
